A3CZYX
19
(1P3E16.7)
Station position
107.806396  34.676601  1.027000

velocity
gain U>E>N
1254.247925   1296.412842    1293.266235
0
seconds
  1.0000000E-002
counts
1.0000000E+00
  3.3320648E+006
2008  9  5 17   49   10
14000
EVENT= 001 Ms= 0.0
Station= LIYO
 -1.4600000E+002  5.7000000E+001 -3.4200000E+002
 -1.5800000E+002  7.4000000E+001 -3.2500000E+002
 -1.4300000E+002  1.1000000E+002 -3.1300000E+002
 -1.3200000E+002  1.0300000E+002 -3.4200000E+002
 -1.4600000E+002  8.1000000E+001 -3.8100000E+002
 -1.6400000E+002  5.9000000E+001 -3.7200000E+002
 -1.5500000E+002  2.5000000E+001 -3.3200000E+002
 -1.4500000E+002 -4.0000000E+000 -3.2200000E+002
 -1.2200000E+002 -8.0000000E+000 -3.7600000E+002
 -1.0800000E+002  1.4000000E+001 -3.8100000E+002
 -1.1300000E+002  2.0000000E+001 -3.3800000E+002
 -1.1600000E+002  1.0000000E+000 -3.3400000E+002
 -1.2700000E+002 -8.0000000E+000 -3.4000000E+002
 -1.2100000E+002  2.2000000E+001 -3.6900000E+002
 -9.9000000E+001  4.1000000E+001 -4.0000000E+002
 -7.4000000E+001  4.0000000E+000 -4.0600000E+002
 -7.7000000E+001 -2.7000000E+001 -4.0100000E+002
 -1.0600000E+002  6.0000000E+000 -3.6500000E+002
 -1.1100000E+002  6.9000000E+001 -3.4300000E+002
 -9.8000000E+001  7.8000000E+001 -3.9400000E+002
 -1.0500000E+002  3.9000000E+001 -4.3900000E+002
 -1.1800000E+002  3.1000000E+001 -4.0100000E+002
 -1.1400000E+002  6.8000000E+001 -3.3900000E+002
 -1.0000000E+002  8.6000000E+001 -3.5000000E+002
 -8.1000000E+001  7.7000000E+001 -4.0500000E+002
 -8.3000000E+001  4.4000000E+001 -4.0600000E+002
 -9.4000000E+001  2.0000000E+001 -3.9400000E+002
 -8.3000000E+001  3.4000000E+001 -3.9300000E+002
 -5.9000000E+001  3.2000000E+001 -3.8100000E+002
 -4.3000000E+001  1.7000000E+001 -3.8300000E+002
 -5.5000000E+001 -1.0000000E+000 -3.6900000E+002
 -7.0000000E+001  2.0000000E+000 -3.8300000E+002
 -6.9000000E+001  3.0000000E+001 -4.1200000E+002
 -4.8000000E+001  2.1000000E+001 -3.9900000E+002
 -4.4000000E+001  1.1000000E+001 -3.7600000E+002
 -7.2000000E+001  1.2000000E+001 -4.0000000E+002
 -7.2000000E+001  2.1000000E+001 -4.5500000E+002
 -5.1000000E+001  3.5000000E+001 -4.5000000E+002
 -3.3000000E+001  3.1000000E+001 -4.6900000E+002
 -4.7000000E+001  4.3000000E+001 -4.8800000E+002
 -7.8000000E+001  4.9000000E+001 -4.5300000E+002
 -6.8000000E+001  4.5000000E+001 -4.3800000E+002
 -4.6000000E+001  5.1000000E+001 -4.2800000E+002
 -2.0000000E+001  7.4000000E+001 -4.2000000E+002
 -1.9000000E+001  1.0300000E+002 -4.3600000E+002
 -5.4000000E+001  9.0000000E+001 -4.3800000E+002
 -7.8000000E+001  4.8000000E+001 -4.0200000E+002
 -6.5000000E+001  3.4000000E+001 -4.1300000E+002
 -2.0000000E+001  7.8000000E+001 -4.5800000E+002
  4.0000000E+000  1.0900000E+002 -4.8100000E+002
 -3.0000000E+000  7.4000000E+001 -4.6600000E+002
 -1.0000000E+001  3.1000000E+001 -4.4800000E+002
 -2.0000000E+000  2.9000000E+001 -4.6600000E+002
  1.2000000E+001  8.3000000E+001 -4.7200000E+002
  1.9000000E+001  9.0000000E+001 -4.9900000E+002
  1.5000000E+001  1.8000000E+001 -5.2400000E+002
  0.0000000E+000 -1.5000000E+001 -5.1500000E+002
  6.0000000E+000  1.2000000E+001 -5.1800000E+002
  3.2000000E+001  5.2000000E+001 -5.3100000E+002
  6.6000000E+001  6.3000000E+001 -5.5400000E+002
  6.8000000E+001  2.6000000E+001 -5.6900000E+002
  4.0000000E+001  6.0000000E+000 -5.0300000E+002
  2.1000000E+001  5.0000000E+001 -4.3100000E+002
  2.5000000E+001  7.1000000E+001 -4.8700000E+002
  3.2000000E+001  3.9000000E+001 -5.5900000E+002
  2.2000000E+001  2.2000000E+001 -5.6200000E+002
  4.1000000E+001  3.3000000E+001 -5.5600000E+002
  4.4000000E+001  5.9000000E+001 -5.6500000E+002
  4.3000000E+001  6.9000000E+001 -5.7700000E+002
  6.1000000E+001  6.6000000E+001 -5.6200000E+002
  3.4000000E+001  7.4000000E+001 -5.4100000E+002
 -4.0000000E+000  9.0000000E+001 -5.5600000E+002
 -1.2000000E+001  9.0000000E+001 -5.8700000E+002
  1.9000000E+001  6.3000000E+001 -5.9600000E+002
  3.4000000E+001  5.1000000E+001 -5.7900000E+002
  4.3000000E+001  5.1000000E+001 -5.7300000E+002
  4.6000000E+001  4.6000000E+001 -5.9900000E+002
  2.9000000E+001  4.4000000E+001 -6.0900000E+002
  4.8000000E+001  4.4000000E+001 -5.9000000E+002
  4.7000000E+001  3.6000000E+001 -6.0700000E+002
  2.5000000E+001  3.3000000E+001 -6.2600000E+002
  3.1000000E+001  3.1000000E+001 -6.2000000E+002
  6.2000000E+001  1.3000000E+001 -6.3200000E+002
  8.5000000E+001  4.0000000E+000 -6.3900000E+002
  8.4000000E+001 -1.0000000E+000 -6.4800000E+002
  7.0000000E+001 -9.0000000E+000 -6.3200000E+002
  4.7000000E+001 -2.0000000E+001 -6.0500000E+002
  5.8000000E+001 -5.1000000E+001 -6.2900000E+002
  8.2000000E+001 -4.4000000E+001 -6.7200000E+002
  9.8000000E+001 -1.0000000E+000 -6.9000000E+002
  8.9000000E+001  1.6000000E+001 -6.7000000E+002
  7.0000000E+001 -2.1000000E+001 -6.8200000E+002
  7.1000000E+001 -5.2000000E+001 -6.7500000E+002
  6.7000000E+001 -9.0000000E+000 -6.5700000E+002
  6.6000000E+001  2.5000000E+001 -7.0500000E+002
  6.3000000E+001 -1.0000000E+001 -7.2900000E+002
  7.4000000E+001 -5.7000000E+001 -7.4400000E+002
  8.2000000E+001 -4.8000000E+001 -7.2400000E+002
  7.1000000E+001  1.9000000E+001 -6.8300000E+002
  6.6000000E+001  3.6000000E+001 -6.9700000E+002
  4.5000000E+001 -2.8000000E+001 -7.2600000E+002
  1.5000000E+001 -6.2000000E+001 -6.9700000E+002
  6.0000000E+000 -4.2000000E+001 -6.2500000E+002
  3.2000000E+001 -3.9000000E+001 -6.7700000E+002
  5.1000000E+001 -6.8000000E+001 -7.5600000E+002
  4.5000000E+001 -8.8000000E+001 -7.4500000E+002
  4.6000000E+001 -7.2000000E+001 -7.4400000E+002
  6.1000000E+001 -5.1000000E+001 -7.6400000E+002
  8.9000000E+001 -4.5000000E+001 -7.6800000E+002
  8.4000000E+001 -4.2000000E+001 -7.4200000E+002
  6.5000000E+001 -4.2000000E+001 -7.4100000E+002
  5.8000000E+001 -4.1000000E+001 -7.5000000E+002
  6.4000000E+001 -5.0000000E+001 -7.5900000E+002
  6.4000000E+001 -6.4000000E+001 -7.6600000E+002
  5.1000000E+001 -6.6000000E+001 -7.4300000E+002
  5.9000000E+001 -5.9000000E+001 -7.5500000E+002
  5.6000000E+001 -5.9000000E+001 -7.9700000E+002
  7.1000000E+001 -6.9000000E+001 -8.0000000E+002
  7.2000000E+001 -6.4000000E+001 -7.6200000E+002
  4.8000000E+001 -5.9000000E+001 -7.8700000E+002
  3.8000000E+001 -5.5000000E+001 -8.0800000E+002
  3.9000000E+001 -6.6000000E+001 -7.7600000E+002
  9.8000000E+001 -8.5000000E+001 -7.9500000E+002
  1.2100000E+002 -7.8000000E+001 -8.1700000E+002
  9.6000000E+001 -5.7000000E+001 -8.1100000E+002
  5.4000000E+001 -5.7000000E+001 -7.8600000E+002
  1.7000000E+001 -1.1300000E+002 -7.8700000E+002
  6.4000000E+001 -1.4900000E+002 -8.4000000E+002
  9.2000000E+001 -1.1300000E+002 -8.6300000E+002
  7.2000000E+001 -9.7000000E+001 -8.3400000E+002
  6.1000000E+001 -1.2200000E+002 -7.9900000E+002
  5.3000000E+001 -1.7400000E+002 -7.9600000E+002
  5.8000000E+001 -1.6700000E+002 -8.2000000E+002
  6.2000000E+001 -1.0500000E+002 -8.2300000E+002
  6.4000000E+001 -1.4600000E+002 -8.3100000E+002
  6.6000000E+001 -2.0100000E+002 -8.5300000E+002
  5.3000000E+001 -1.8900000E+002 -8.2800000E+002
  5.6000000E+001 -1.4600000E+002 -8.1300000E+002
  7.4000000E+001 -1.1300000E+002 -8.5200000E+002
  6.9000000E+001 -1.5700000E+002 -8.8800000E+002
  5.3000000E+001 -1.8100000E+002 -8.8700000E+002
  3.3000000E+001 -1.6500000E+002 -8.3600000E+002
  5.1000000E+001 -1.6000000E+002 -8.1800000E+002
  6.6000000E+001 -1.9100000E+002 -8.6500000E+002
  3.7000000E+001 -2.1400000E+002 -8.8200000E+002
  3.2000000E+001 -1.7700000E+002 -8.6400000E+002
  3.8000000E+001 -1.6500000E+002 -8.7100000E+002
  3.9000000E+001 -1.7300000E+002 -9.2200000E+002
  3.7000000E+001 -1.8700000E+002 -9.1300000E+002
  4.0000000E+001 -2.0400000E+002 -8.8900000E+002
  3.0000000E+001 -1.9900000E+002 -9.1100000E+002
 -1.9000000E+001 -1.8600000E+002 -9.0700000E+002
 -2.1000000E+001 -1.8800000E+002 -9.3000000E+002
  1.4000000E+001 -2.0300000E+002 -9.3100000E+002
  3.7000000E+001 -1.9500000E+002 -8.9700000E+002
  1.6000000E+001 -1.8600000E+002 -8.9900000E+002
 -2.7000000E+001 -2.1000000E+002 -9.2300000E+002
 -2.0000000E+001 -2.4700000E+002 -9.4000000E+002
  2.0000000E+000 -2.7500000E+002 -9.2400000E+002
 -1.0000000E+000 -2.7600000E+002 -9.4000000E+002
 -2.5000000E+001 -2.6300000E+002 -9.3200000E+002
 -1.3000000E+001 -2.6900000E+002 -8.9700000E+002
  1.0000000E+001 -2.7500000E+002 -9.1800000E+002
  2.1000000E+001 -2.8600000E+002 -9.3500000E+002
  2.8000000E+001 -2.8400000E+002 -9.2500000E+002
  1.6000000E+001 -2.7500000E+002 -9.0900000E+002
  5.0000000E+000 -2.8900000E+002 -8.9000000E+002
 -1.3000000E+001 -2.9400000E+002 -9.0000000E+002
  1.1000000E+001 -2.8400000E+002 -9.5800000E+002
  3.4000000E+001 -2.6500000E+002 -9.7800000E+002
  2.2000000E+001 -2.6500000E+002 -9.6400000E+002
  4.0000000E+000 -2.8200000E+002 -9.5100000E+002
 -2.3000000E+001 -2.9000000E+002 -9.4600000E+002
 -1.0000000E+000 -2.7500000E+002 -9.8100000E+002
  3.0000000E+000 -2.6200000E+002 -1.0030000E+003
 -2.2000000E+001 -2.9400000E+002 -1.0090000E+003
 -1.6000000E+001 -3.1800000E+002 -1.0020000E+003
 -8.0000000E+000 -3.1500000E+002 -1.0020000E+003
  0.0000000E+000 -2.6800000E+002 -1.0110000E+003
  1.0000000E+001 -2.2800000E+002 -9.9900000E+002
  0.0000000E+000 -2.8700000E+002 -1.0270000E+003
 -3.8000000E+001 -3.2900000E+002 -1.0280000E+003
 -5.4000000E+001 -2.9700000E+002 -9.5700000E+002
 -3.3000000E+001 -2.9400000E+002 -9.7200000E+002
 -1.3000000E+001 -3.2100000E+002 -1.0510000E+003
 -2.7000000E+001 -3.3400000E+002 -1.0430000E+003
 -4.8000000E+001 -3.3500000E+002 -1.0410000E+003
 -4.1000000E+001 -3.1600000E+002 -1.0570000E+003
 -2.8000000E+001 -3.1700000E+002 -1.0390000E+003
 -1.9000000E+001 -3.3600000E+002 -1.0390000E+003
 -4.5000000E+001 -3.3000000E+002 -1.0210000E+003
 -7.0000000E+001 -3.2000000E+002 -1.0080000E+003
 -6.6000000E+001 -3.2100000E+002 -1.0370000E+003
 -7.0000000E+001 -3.3800000E+002 -1.0760000E+003
 -8.9000000E+001 -3.4200000E+002 -1.0480000E+003
 -1.0800000E+002 -3.3900000E+002 -1.0140000E+003
 -9.4000000E+001 -3.6800000E+002 -1.0610000E+003
 -8.1000000E+001 -3.8300000E+002 -1.0700000E+003
 -8.0000000E+001 -3.6900000E+002 -1.0400000E+003
 -8.2000000E+001 -3.6900000E+002 -1.0390000E+003
 -7.7000000E+001 -3.8300000E+002 -1.0510000E+003
 -6.0000000E+001 -3.8400000E+002 -1.0470000E+003
 -4.6000000E+001 -3.8500000E+002 -1.0550000E+003
 -2.3000000E+001 -3.8400000E+002 -1.0860000E+003
 -3.8000000E+001 -3.6100000E+002 -1.0620000E+003
 -7.4000000E+001 -3.4500000E+002 -1.0340000E+003
 -8.4000000E+001 -3.6500000E+002 -1.0390000E+003
 -5.2000000E+001 -3.7700000E+002 -1.0410000E+003
 -2.0000000E+000 -3.4700000E+002 -1.0710000E+003
 -1.9000000E+001 -3.2100000E+002 -1.0610000E+003
 -6.5000000E+001 -3.5100000E+002 -1.0200000E+003
 -8.7000000E+001 -3.9300000E+002 -1.0360000E+003
 -6.9000000E+001 -3.7500000E+002 -1.0630000E+003
 -4.5000000E+001 -3.1300000E+002 -1.0760000E+003
 -7.2000000E+001 -3.1700000E+002 -1.0860000E+003
 -8.9000000E+001 -3.9400000E+002 -1.1000000E+003
 -9.8000000E+001 -4.1800000E+002 -1.0730000E+003
 -9.4000000E+001 -3.8600000E+002 -1.0530000E+003
 -6.1000000E+001 -3.8000000E+002 -1.0970000E+003
 -5.6000000E+001 -4.1400000E+002 -1.1050000E+003
 -8.6000000E+001 -4.2700000E+002 -1.0730000E+003
 -1.0300000E+002 -3.8400000E+002 -1.0470000E+003
 -7.9000000E+001 -3.4100000E+002 -1.0600000E+003
 -7.4000000E+001 -3.5000000E+002 -1.1270000E+003
 -1.0100000E+002 -3.8800000E+002 -1.1500000E+003
 -1.1700000E+002 -3.8700000E+002 -1.1110000E+003
 -1.2300000E+002 -3.6400000E+002 -1.0930000E+003
 -1.1000000E+002 -3.6800000E+002 -1.1440000E+003
 -8.8000000E+001 -3.9100000E+002 -1.1730000E+003
 -7.8000000E+001 -4.0400000E+002 -1.1210000E+003
 -1.0300000E+002 -4.0500000E+002 -1.1180000E+003
 -1.3900000E+002 -4.0800000E+002 -1.1260000E+003
 -1.5400000E+002 -4.0400000E+002 -1.1100000E+003
 -1.5300000E+002 -4.0100000E+002 -1.1480000E+003
 -1.3800000E+002 -3.9900000E+002 -1.1550000E+003
 -1.4100000E+002 -3.8100000E+002 -1.1280000E+003
 -1.5900000E+002 -3.6000000E+002 -1.1490000E+003
 -1.4800000E+002 -3.6900000E+002 -1.1780000E+003
 -1.3300000E+002 -3.9200000E+002 -1.1620000E+003
