A3CZYX
19
(1P3E16.7)
Station position
106.700401  34.969398  1.080000

velocity
gain U>E>N
595.169983   563.710022    564.239990
0
seconds
  2.0000000E-002
counts
1.0000000E+00
  3.5596618E+006
2008  9  5 17   49   10
7000
EVENT= 001 Ms= 0.0
Station= LOXT
 -1.3400000E+002 -1.1700000E+002 -1.6800000E+002
 -1.5000000E+002 -1.2100000E+002 -1.7600000E+002
 -1.5500000E+002 -1.3000000E+002 -1.8700000E+002
 -1.4900000E+002 -1.2400000E+002 -1.9900000E+002
 -1.3400000E+002 -1.1500000E+002 -1.7400000E+002
 -1.2100000E+002 -9.6000000E+001 -1.4400000E+002
 -1.2900000E+002 -1.1800000E+002 -1.3100000E+002
 -1.3500000E+002 -1.2100000E+002 -1.1800000E+002
 -1.4000000E+002 -1.2800000E+002 -1.4500000E+002
 -1.4500000E+002 -1.4300000E+002 -1.5100000E+002
 -1.5700000E+002 -1.2200000E+002 -1.4700000E+002
 -1.8000000E+002 -1.0000000E+002 -1.3200000E+002
 -1.9500000E+002 -8.8000000E+001 -1.2400000E+002
 -1.9600000E+002 -1.0000000E+002 -1.6900000E+002
 -1.8600000E+002 -9.5000000E+001 -1.9900000E+002
 -1.9200000E+002 -7.7000000E+001 -2.3100000E+002
 -1.9200000E+002 -7.0000000E+001 -2.3100000E+002
 -1.7000000E+002 -7.1000000E+001 -2.1700000E+002
 -1.6100000E+002 -8.2000000E+001 -2.2600000E+002
 -1.4800000E+002 -9.2000000E+001 -2.1800000E+002
 -1.5100000E+002 -1.0700000E+002 -2.0900000E+002
 -1.5900000E+002 -1.0100000E+002 -1.9400000E+002
 -1.3900000E+002 -8.3000000E+001 -1.8400000E+002
 -1.2800000E+002 -6.9000000E+001 -1.5900000E+002
 -1.1900000E+002 -7.8000000E+001 -1.3400000E+002
 -1.1900000E+002 -1.1400000E+002 -1.3900000E+002
 -1.2400000E+002 -1.2800000E+002 -1.4300000E+002
 -1.2500000E+002 -1.3900000E+002 -1.5200000E+002
 -1.3800000E+002 -1.2900000E+002 -1.6100000E+002
 -1.4300000E+002 -1.1200000E+002 -1.7300000E+002
 -1.3500000E+002 -1.1500000E+002 -1.9500000E+002
 -1.3100000E+002 -1.0100000E+002 -1.9900000E+002
 -1.2300000E+002 -9.5000000E+001 -2.0100000E+002
 -1.2500000E+002 -1.0900000E+002 -2.0000000E+002
 -1.4000000E+002 -1.0900000E+002 -2.0700000E+002
 -1.3400000E+002 -1.0000000E+002 -2.2400000E+002
 -1.0700000E+002 -1.1400000E+002 -2.2500000E+002
