A3CZYX
19
(1P3E16.7)
Station position
106.139503  33.356800  0.676000

velocity
gain U>E>N
1298.300781   1269.981079    1290.119629
0
seconds
  1.0000000E-002
counts
1.0000000E+00
  1.0774197E+007
2008  9  5 17   49   10
14000
EVENT= 001 Ms= 0.0
Station= LUYA
 -7.5000000E+001 -3.3800000E+002 -2.8200000E+002
 -1.4300000E+002 -4.3800000E+002 -3.0800000E+002
 -2.0400000E+002 -4.6100000E+002 -3.4700000E+002
 -1.8500000E+002 -3.9700000E+002 -3.2100000E+002
 -1.4300000E+002 -3.1700000E+002 -2.9200000E+002
 -1.4100000E+002 -3.0200000E+002 -3.2300000E+002
 -1.2400000E+002 -3.4200000E+002 -3.3300000E+002
 -1.1500000E+002 -4.1400000E+002 -3.0800000E+002
 -8.3000000E+001 -3.6600000E+002 -2.7600000E+002
 -8.1000000E+001 -3.0400000E+002 -2.9600000E+002
 -9.8000000E+001 -3.0800000E+002 -3.2700000E+002
 -4.3000000E+001 -3.0700000E+002 -3.4900000E+002
 -1.2000000E+001 -3.4700000E+002 -3.3700000E+002
 -5.6000000E+001 -3.5200000E+002 -3.0100000E+002
 -1.5600000E+002 -3.7500000E+002 -3.2400000E+002
 -1.8400000E+002 -3.6500000E+002 -3.0300000E+002
 -1.4000000E+002 -2.5600000E+002 -2.4800000E+002
 -1.1700000E+002 -1.8600000E+002 -2.2400000E+002
 -9.9000000E+001 -2.4300000E+002 -2.5100000E+002
 -8.7000000E+001 -3.8800000E+002 -2.6900000E+002
 -1.1200000E+002 -4.1200000E+002 -2.4000000E+002
 -1.5000000E+002 -3.1700000E+002 -2.3200000E+002
 -1.3600000E+002 -2.2500000E+002 -2.6400000E+002
 -1.0500000E+002 -2.3000000E+002 -3.5800000E+002
 -7.7000000E+001 -3.2700000E+002 -3.8700000E+002
 -6.8000000E+001 -3.6600000E+002 -3.7900000E+002
 -1.2300000E+002 -3.7800000E+002 -4.0700000E+002
 -1.6500000E+002 -3.8600000E+002 -4.3500000E+002
 -1.4000000E+002 -3.6600000E+002 -4.1700000E+002
 -1.3000000E+002 -3.0700000E+002 -3.4800000E+002
 -1.5800000E+002 -2.9100000E+002 -3.4800000E+002
 -1.5700000E+002 -3.5900000E+002 -3.5200000E+002
 -1.0800000E+002 -3.2700000E+002 -3.0400000E+002
 -8.5000000E+001 -2.4500000E+002 -2.2400000E+002
 -1.1500000E+002 -2.2300000E+002 -1.8400000E+002
 -1.0100000E+002 -2.5800000E+002 -2.3000000E+002
 -9.1000000E+001 -3.2400000E+002 -2.7400000E+002
 -1.3300000E+002 -3.6300000E+002 -2.9800000E+002
 -1.7300000E+002 -3.9900000E+002 -3.2200000E+002
 -1.8400000E+002 -4.0800000E+002 -3.6000000E+002
 -1.3800000E+002 -3.3700000E+002 -3.0400000E+002
 -1.0900000E+002 -2.3200000E+002 -2.6300000E+002
 -1.3600000E+002 -2.5400000E+002 -3.0900000E+002
 -1.4200000E+002 -3.6700000E+002 -2.9800000E+002
 -1.1500000E+002 -3.9100000E+002 -3.0400000E+002
 -7.2000000E+001 -3.4700000E+002 -2.9300000E+002
 -6.0000000E+001 -3.1200000E+002 -3.0500000E+002
 -4.0000000E+001 -3.4000000E+002 -3.6900000E+002
  1.8000000E+001 -3.8900000E+002 -3.7200000E+002
 -9.0000000E+000 -4.5600000E+002 -3.6400000E+002
 -9.9000000E+001 -4.7100000E+002 -3.9100000E+002
 -1.3200000E+002 -4.2600000E+002 -4.3300000E+002
 -1.1100000E+002 -3.7600000E+002 -4.0700000E+002
 -5.2000000E+001 -2.5800000E+002 -3.8700000E+002
 -5.0000000E+000 -2.3500000E+002 -3.4200000E+002
 -1.0000000E+001 -3.1700000E+002 -2.9000000E+002
 -4.2000000E+001 -3.6600000E+002 -3.4100000E+002
 -8.7000000E+001 -3.2400000E+002 -2.9900000E+002
 -7.8000000E+001 -2.1500000E+002 -2.2700000E+002
 -5.6000000E+001 -2.1000000E+002 -2.4900000E+002
 -8.8000000E+001 -3.1900000E+002 -3.1900000E+002
 -1.3600000E+002 -4.1500000E+002 -3.8100000E+002
 -1.7900000E+002 -3.6300000E+002 -4.0000000E+002
 -1.5800000E+002 -3.1400000E+002 -3.8400000E+002
 -1.0600000E+002 -3.2900000E+002 -3.4100000E+002
 -6.2000000E+001 -2.8900000E+002 -3.5900000E+002
 -5.6000000E+001 -3.5000000E+002 -3.3000000E+002
 -8.1000000E+001 -4.2500000E+002 -2.7500000E+002
 -7.4000000E+001 -4.1800000E+002 -3.1500000E+002
 -8.9000000E+001 -3.8800000E+002 -3.6000000E+002
 -9.8000000E+001 -3.4000000E+002 -3.8700000E+002
 -9.6000000E+001 -3.0200000E+002 -3.8400000E+002
 -5.9000000E+001 -3.0300000E+002 -3.6100000E+002
 -6.4000000E+001 -4.0200000E+002 -3.5100000E+002
 -1.8400000E+002 -4.7400000E+002 -3.8600000E+002
 -2.0100000E+002 -4.5800000E+002 -3.7500000E+002
