A3CZYX
19
(1P3E16.7)
Station position
106.800201  33.229301  1.151000

velocity
gain U>E>N
1277.533081   1285.084961    1271.869141
0
seconds
  1.0000000E-002
counts
1.0000000E+00
  5.7597242E+006
2008  9  5 17   49   10
14000
EVENT= 001 Ms= 0.0
Station= MIAX
 -4.6700000E+002 -2.1300000E+002 -3.2800000E+002
 -4.6200000E+002 -1.9600000E+002 -3.7900000E+002
 -4.4200000E+002 -1.6800000E+002 -3.8100000E+002
 -4.5300000E+002 -2.1700000E+002 -4.0300000E+002
 -4.6900000E+002 -2.4500000E+002 -4.1100000E+002
 -4.5500000E+002 -2.0900000E+002 -3.6500000E+002
 -4.5400000E+002 -2.0900000E+002 -3.5200000E+002
 -4.4900000E+002 -2.5800000E+002 -3.5600000E+002
 -4.3000000E+002 -2.4800000E+002 -3.3200000E+002
 -4.1500000E+002 -2.1900000E+002 -3.2600000E+002
 -4.2100000E+002 -2.7200000E+002 -3.6000000E+002
 -4.3700000E+002 -3.2300000E+002 -4.0700000E+002
 -4.2300000E+002 -2.7700000E+002 -4.1700000E+002
 -4.1700000E+002 -2.2500000E+002 -4.0800000E+002
 -4.2500000E+002 -2.5200000E+002 -4.1400000E+002
 -4.1600000E+002 -2.5900000E+002 -4.1000000E+002
 -4.0800000E+002 -2.3700000E+002 -3.8900000E+002
 -4.1100000E+002 -2.7600000E+002 -3.9900000E+002
 -4.1200000E+002 -2.9100000E+002 -4.3700000E+002
 -4.0900000E+002 -2.2700000E+002 -4.2300000E+002
 -4.0400000E+002 -2.2200000E+002 -4.0500000E+002
 -3.9900000E+002 -2.7300000E+002 -4.4300000E+002
 -4.1700000E+002 -2.5800000E+002 -4.2900000E+002
 -4.2200000E+002 -2.4700000E+002 -3.8300000E+002
 -3.9900000E+002 -2.7000000E+002 -3.9500000E+002
 -4.0000000E+002 -2.4600000E+002 -4.0700000E+002
 -4.1000000E+002 -2.2300000E+002 -3.9700000E+002
 -4.1100000E+002 -2.6800000E+002 -4.1900000E+002
 -4.0300000E+002 -3.1400000E+002 -4.4900000E+002
 -3.8300000E+002 -2.5500000E+002 -4.3900000E+002
 -3.9000000E+002 -1.9100000E+002 -4.1000000E+002
 -4.1100000E+002 -2.3700000E+002 -4.2800000E+002
 -4.0800000E+002 -2.7900000E+002 -4.8000000E+002
 -3.9000000E+002 -2.7000000E+002 -4.7900000E+002
 -3.9400000E+002 -2.9300000E+002 -4.6500000E+002
 -4.0000000E+002 -3.1900000E+002 -4.9000000E+002
 -3.9000000E+002 -2.7700000E+002 -4.8300000E+002
 -3.8400000E+002 -2.4000000E+002 -4.5500000E+002
 -3.8200000E+002 -2.5500000E+002 -4.4400000E+002
 -3.8700000E+002 -2.5800000E+002 -4.4300000E+002
 -3.6700000E+002 -2.3200000E+002 -4.2900000E+002
 -3.5200000E+002 -2.1900000E+002 -4.2100000E+002
 -3.7300000E+002 -2.3600000E+002 -4.5100000E+002
 -3.8200000E+002 -2.3900000E+002 -4.8300000E+002
 -3.8400000E+002 -2.4700000E+002 -4.9800000E+002
 -3.8800000E+002 -2.7300000E+002 -4.8800000E+002
 -3.8700000E+002 -2.4900000E+002 -4.6600000E+002
 -3.9200000E+002 -2.0200000E+002 -4.4300000E+002
 -3.9300000E+002 -2.0900000E+002 -4.4000000E+002
 -3.8700000E+002 -2.4500000E+002 -4.7100000E+002
 -3.6800000E+002 -2.4800000E+002 -4.7700000E+002
 -3.5300000E+002 -2.5000000E+002 -4.8200000E+002
 -3.6300000E+002 -2.5100000E+002 -5.1800000E+002
 -3.7700000E+002 -2.4400000E+002 -5.4800000E+002
 -3.7700000E+002 -2.3900000E+002 -5.5900000E+002
 -3.6300000E+002 -2.2900000E+002 -5.5200000E+002
 -3.6000000E+002 -2.4800000E+002 -5.4900000E+002
 -3.6400000E+002 -2.5600000E+002 -5.5700000E+002
 -3.5300000E+002 -2.5300000E+002 -5.4700000E+002
 -3.4300000E+002 -2.6400000E+002 -5.2100000E+002
 -3.3500000E+002 -2.5000000E+002 -5.0200000E+002
