A3CZYX
19
(1P3E16.7)
Station position
108.217201  34.569698  0.885000

velocity
gain U>E>N
615.619995   549.030029    551.130005
0
seconds
  2.0000000E-002
counts
1.0000000E+00
  3.3320648E+006
2008  9  5 17   49   10
7000
EVENT= 001 Ms= 0.0
Station= QLIT
 -1.6800000E+002 -1.6900000E+002 -2.4300000E+002
 -1.4000000E+002 -1.3500000E+002 -2.7000000E+002
 -1.1500000E+002 -1.8500000E+002 -2.8100000E+002
 -8.6000000E+001 -2.2400000E+002 -2.5500000E+002
 -9.0000000E+001 -2.6800000E+002 -2.2700000E+002
 -1.5100000E+002 -2.8500000E+002 -2.2300000E+002
 -2.0400000E+002 -2.9600000E+002 -2.0900000E+002
 -2.2500000E+002 -3.4800000E+002 -2.1200000E+002
 -2.4300000E+002 -3.5400000E+002 -1.8300000E+002
 -2.3400000E+002 -3.4900000E+002 -1.3500000E+002
 -1.9900000E+002 -3.2300000E+002 -1.4000000E+002
 -1.9600000E+002 -2.7400000E+002 -1.6300000E+002
 -2.0300000E+002 -2.5000000E+002 -1.8800000E+002
 -2.0000000E+002 -2.1900000E+002 -2.0500000E+002
 -1.9400000E+002 -1.9100000E+002 -2.2600000E+002
 -1.9000000E+002 -1.7700000E+002 -2.3400000E+002
 -2.0300000E+002 -1.6100000E+002 -2.1400000E+002
 -2.0900000E+002 -1.6100000E+002 -2.1100000E+002
 -1.9700000E+002 -2.1000000E+002 -2.1900000E+002
 -1.8900000E+002 -2.4700000E+002 -2.3500000E+002
 -2.0200000E+002 -2.4800000E+002 -2.1300000E+002
 -2.0500000E+002 -2.6100000E+002 -1.9600000E+002
 -2.0500000E+002 -2.6500000E+002 -2.0900000E+002
 -2.2500000E+002 -2.5500000E+002 -1.8500000E+002
 -2.2900000E+002 -2.3400000E+002 -1.9700000E+002
 -2.1100000E+002 -2.1700000E+002 -2.1400000E+002
 -2.0000000E+002 -2.1700000E+002 -2.3000000E+002
 -1.9900000E+002 -1.9600000E+002 -2.3900000E+002
 -1.8800000E+002 -1.5400000E+002 -2.1400000E+002
 -1.9800000E+002 -1.2500000E+002 -2.0700000E+002
 -2.3400000E+002 -1.4200000E+002 -1.9000000E+002
 -2.5900000E+002 -2.0300000E+002 -1.8800000E+002
 -2.6400000E+002 -2.4800000E+002 -1.7000000E+002
 -2.6700000E+002 -2.5600000E+002 -1.7200000E+002
 -2.6800000E+002 -2.4900000E+002 -1.9600000E+002
