A3CZYX
19
(1P3E16.7)
Station position
106.937302  34.553799  0.971000

velocity
gain U>E>N
1295.154175   1289.490234    1311.516724
0
seconds
  1.0000000E-002
counts
1.0000000E+00
  4.5129473E+006
2008  9  5 17   49   10
14000
EVENT= 001 Ms= 0.0
Station= SHWA
 -4.8400000E+002 -8.2600000E+002 -6.4400000E+002
 -4.8900000E+002 -8.3000000E+002 -6.5600000E+002
 -4.8100000E+002 -8.2600000E+002 -6.5500000E+002
 -4.7800000E+002 -8.2300000E+002 -6.6100000E+002
 -4.8400000E+002 -8.1900000E+002 -6.5600000E+002
 -4.8900000E+002 -8.1800000E+002 -6.5400000E+002
 -4.8800000E+002 -8.3100000E+002 -6.5700000E+002
 -4.7400000E+002 -8.3300000E+002 -6.3200000E+002
 -4.7600000E+002 -8.3800000E+002 -6.2500000E+002
 -4.9300000E+002 -8.4700000E+002 -6.2100000E+002
 -5.0100000E+002 -8.5300000E+002 -6.1600000E+002
 -4.9300000E+002 -8.6100000E+002 -6.1000000E+002
 -4.9400000E+002 -8.6900000E+002 -6.0700000E+002
 -5.1200000E+002 -8.8000000E+002 -6.2800000E+002
 -5.0000000E+002 -8.7200000E+002 -6.2200000E+002
 -4.8600000E+002 -8.6900000E+002 -6.2000000E+002
 -4.9500000E+002 -8.6800000E+002 -6.2800000E+002
 -4.9600000E+002 -8.6800000E+002 -6.1100000E+002
 -4.9900000E+002 -8.6100000E+002 -6.1000000E+002
 -5.0400000E+002 -8.4600000E+002 -6.0500000E+002
 -5.0800000E+002 -8.5900000E+002 -5.9100000E+002
 -5.1600000E+002 -8.6100000E+002 -5.8600000E+002
 -5.1900000E+002 -8.5600000E+002 -5.8500000E+002
 -5.2400000E+002 -8.5700000E+002 -5.8500000E+002
 -5.2400000E+002 -8.5500000E+002 -5.8100000E+002
 -5.2100000E+002 -8.5900000E+002 -5.8300000E+002
 -5.1700000E+002 -8.5000000E+002 -5.8900000E+002
 -5.0400000E+002 -8.4800000E+002 -5.8800000E+002
 -5.0800000E+002 -8.5000000E+002 -5.8500000E+002
 -5.0700000E+002 -8.4300000E+002 -5.8400000E+002
 -4.9900000E+002 -8.4600000E+002 -5.8800000E+002
 -5.0400000E+002 -8.6200000E+002 -5.9200000E+002
 -5.0000000E+002 -8.6600000E+002 -5.8600000E+002
 -4.9400000E+002 -8.5400000E+002 -5.8400000E+002
 -4.8900000E+002 -8.6300000E+002 -5.8100000E+002
 -4.9200000E+002 -8.7200000E+002 -5.6400000E+002
 -5.0500000E+002 -8.7600000E+002 -5.5600000E+002
 -5.1200000E+002 -8.8200000E+002 -5.4700000E+002
 -5.2600000E+002 -8.8100000E+002 -5.2700000E+002
 -5.3200000E+002 -8.9300000E+002 -5.2500000E+002
 -5.3600000E+002 -9.0700000E+002 -5.1900000E+002
 -5.4100000E+002 -9.1300000E+002 -5.0300000E+002
 -5.3300000E+002 -9.0300000E+002 -5.0200000E+002
 -5.2900000E+002 -8.8600000E+002 -5.0600000E+002
 -5.2400000E+002 -8.9000000E+002 -5.1300000E+002
 -5.2400000E+002 -8.9500000E+002 -5.1200000E+002
 -5.2200000E+002 -8.8300000E+002 -5.0700000E+002
 -5.1300000E+002 -8.8200000E+002 -5.0300000E+002
 -5.2300000E+002 -8.9100000E+002 -4.9900000E+002
 -5.2900000E+002 -8.9200000E+002 -5.1100000E+002
 -5.3500000E+002 -8.9400000E+002 -5.1400000E+002
 -5.3600000E+002 -8.8100000E+002 -4.9900000E+002
 -5.3400000E+002 -8.8600000E+002 -4.9400000E+002
 -5.3600000E+002 -9.0100000E+002 -4.9900000E+002
 -5.2600000E+002 -8.8200000E+002 -4.9800000E+002
 -5.2700000E+002 -8.8500000E+002 -4.9500000E+002
 -5.3100000E+002 -9.0300000E+002 -4.9400000E+002
 -5.3600000E+002 -9.0900000E+002 -4.8500000E+002
 -5.3700000E+002 -9.0700000E+002 -4.7800000E+002
 -5.2200000E+002 -9.0500000E+002 -4.7500000E+002
 -5.2300000E+002 -9.1200000E+002 -4.7700000E+002
 -5.3200000E+002 -9.1700000E+002 -4.7800000E+002
 -5.3800000E+002 -9.1400000E+002 -4.7100000E+002
 -5.4100000E+002 -9.2500000E+002 -4.6300000E+002
 -5.3900000E+002 -9.2600000E+002 -4.6200000E+002
 -5.4700000E+002 -9.1400000E+002 -4.6300000E+002
 -5.5500000E+002 -9.3200000E+002 -4.5400000E+002
 -5.5300000E+002 -9.2100000E+002 -4.5200000E+002
 -5.5500000E+002 -9.0600000E+002 -4.4900000E+002
 -5.5500000E+002 -9.1500000E+002 -4.4700000E+002
 -5.5100000E+002 -9.2900000E+002 -4.5100000E+002
 -5.5700000E+002 -9.2600000E+002 -4.5100000E+002
 -5.4200000E+002 -9.0100000E+002 -4.5200000E+002
 -5.3100000E+002 -9.0700000E+002 -4.3800000E+002
 -5.3900000E+002 -9.0400000E+002 -4.4000000E+002
 -5.3500000E+002 -9.0000000E+002 -4.4000000E+002
 -5.3600000E+002 -9.0500000E+002 -4.3000000E+002
 -5.3500000E+002 -9.0300000E+002 -4.4700000E+002
 -5.4200000E+002 -9.0300000E+002 -4.4700000E+002
 -5.5000000E+002 -8.9900000E+002 -4.4800000E+002
 -5.4800000E+002 -9.0400000E+002 -4.5200000E+002
 -5.5800000E+002 -9.0000000E+002 -4.4600000E+002
 -5.5300000E+002 -9.0400000E+002 -4.4200000E+002
 -5.6000000E+002 -9.2400000E+002 -4.3200000E+002
 -5.6100000E+002 -9.2500000E+002 -4.2700000E+002
 -5.4500000E+002 -9.1900000E+002 -4.1600000E+002
 -5.4800000E+002 -9.2100000E+002 -4.0200000E+002
 -5.4500000E+002 -9.2300000E+002 -4.0000000E+002
 -5.5200000E+002 -9.2500000E+002 -3.9900000E+002
 -5.5500000E+002 -9.1900000E+002 -3.9600000E+002
 -5.5100000E+002 -9.1400000E+002 -3.8800000E+002
 -5.6000000E+002 -9.2600000E+002 -3.8500000E+002
 -5.6200000E+002 -9.2500000E+002 -3.9400000E+002
 -5.6800000E+002 -9.1400000E+002 -3.9000000E+002
 -5.6400000E+002 -9.1700000E+002 -3.8600000E+002
 -5.5700000E+002 -9.1600000E+002 -3.9600000E+002
 -5.5800000E+002 -9.2300000E+002 -4.1100000E+002
 -5.5400000E+002 -9.2600000E+002 -4.1300000E+002
 -5.6100000E+002 -9.2000000E+002 -3.9700000E+002
 -5.6800000E+002 -9.3200000E+002 -3.9300000E+002
 -5.7100000E+002 -9.3800000E+002 -3.9000000E+002
 -5.8100000E+002 -9.3500000E+002 -3.9100000E+002
 -5.7200000E+002 -9.2800000E+002 -3.9300000E+002
 -5.5700000E+002 -9.1700000E+002 -3.8300000E+002
