A3CZYX
19
(1P3E16.7)
Station position
107.285202  34.070702  1.710000

velocity
gain U>E>N
672.260010   541.690002    583.640015
0
seconds
  2.0000000E-002
counts
1.0000000E+00
  5.4928075E+006
2008  9  5 17   49   10
7000
EVENT= 001 Ms= 0.0
Station= TABT
 -3.1900000E+002 -1.4400000E+002 -2.2100000E+002
 -2.8400000E+002 -1.5000000E+002 -2.2200000E+002
 -2.9100000E+002 -1.4700000E+002 -2.2400000E+002
 -3.0400000E+002 -1.4900000E+002 -2.0600000E+002
 -2.8600000E+002 -1.6500000E+002 -1.9700000E+002
 -2.8200000E+002 -1.7400000E+002 -2.2500000E+002
 -2.8500000E+002 -1.5400000E+002 -2.0000000E+002
 -3.0000000E+002 -1.3700000E+002 -2.0700000E+002
 -3.0700000E+002 -1.4600000E+002 -2.3100000E+002
 -2.9600000E+002 -1.6100000E+002 -2.2300000E+002
 -2.9700000E+002 -1.5600000E+002 -2.3300000E+002
 -3.1300000E+002 -1.4800000E+002 -2.2100000E+002
 -3.0300000E+002 -1.3900000E+002 -2.1200000E+002
 -3.1200000E+002 -1.6400000E+002 -2.1800000E+002
 -3.2000000E+002 -1.8300000E+002 -2.2000000E+002
 -3.1200000E+002 -1.5300000E+002 -2.1100000E+002
 -3.1000000E+002 -1.4400000E+002 -2.0600000E+002
 -3.0200000E+002 -1.5500000E+002 -2.2000000E+002
 -2.9200000E+002 -1.6000000E+002 -2.0900000E+002
 -2.8500000E+002 -1.6000000E+002 -2.0900000E+002
 -2.9700000E+002 -1.6100000E+002 -2.2400000E+002
 -2.8400000E+002 -1.6300000E+002 -2.0800000E+002
 -2.7500000E+002 -1.7800000E+002 -2.1300000E+002
 -2.8600000E+002 -1.7300000E+002 -2.2700000E+002
 -2.8900000E+002 -1.5600000E+002 -2.1200000E+002
 -2.9300000E+002 -1.6900000E+002 -2.2700000E+002
 -2.7500000E+002 -1.5400000E+002 -2.5700000E+002
 -2.6000000E+002 -1.3600000E+002 -2.5100000E+002
 -2.7900000E+002 -1.5600000E+002 -2.3500000E+002
 -2.7000000E+002 -1.6500000E+002 -2.2400000E+002
 -2.4700000E+002 -1.5300000E+002 -2.2400000E+002
 -2.5900000E+002 -1.4500000E+002 -2.3400000E+002
 -2.6300000E+002 -1.3800000E+002 -2.3800000E+002
 -2.7400000E+002 -1.5400000E+002 -2.1200000E+002
 -2.8300000E+002 -1.7700000E+002 -1.9800000E+002
 -2.7100000E+002 -1.7400000E+002 -2.2600000E+002
 -2.7300000E+002 -1.8600000E+002 -2.3000000E+002
 -2.6700000E+002 -1.9100000E+002 -2.2300000E+002
 -2.7300000E+002 -1.7000000E+002 -2.5400000E+002
 -2.9000000E+002 -1.7400000E+002 -2.6500000E+002
 -2.7700000E+002 -1.7500000E+002 -2.5200000E+002
 -2.7600000E+002 -1.4800000E+002 -2.8200000E+002
 -2.8900000E+002 -1.7900000E+002 -2.7100000E+002
 -2.7400000E+002 -1.9200000E+002 -2.4200000E+002
 -2.7600000E+002 -1.4800000E+002 -2.7900000E+002
 -2.6700000E+002 -1.7500000E+002 -2.6600000E+002
 -2.5600000E+002 -1.7600000E+002 -2.6100000E+002
 -2.6900000E+002 -1.6500000E+002 -2.9600000E+002
 -2.3900000E+002 -1.7300000E+002 -2.7000000E+002
 -2.3200000E+002 -1.7200000E+002 -2.6000000E+002
 -2.5700000E+002 -2.0600000E+002 -2.8700000E+002
 -2.4400000E+002 -1.8800000E+002 -2.7800000E+002
 -2.3200000E+002 -1.7500000E+002 -2.8000000E+002
 -2.3800000E+002 -1.8400000E+002 -2.9600000E+002
 -2.5600000E+002 -1.6900000E+002 -2.9100000E+002
 -2.6200000E+002 -1.6000000E+002 -2.9600000E+002
 -2.5200000E+002 -1.8400000E+002 -2.9800000E+002
 -2.5600000E+002 -2.1900000E+002 -3.0200000E+002
 -2.6300000E+002 -1.8300000E+002 -3.0400000E+002
 -2.6400000E+002 -1.7800000E+002 -2.9300000E+002
 -2.6000000E+002 -2.1000000E+002 -3.0300000E+002
 -2.7200000E+002 -1.9100000E+002 -3.2200000E+002
 -2.6600000E+002 -1.8700000E+002 -3.1600000E+002
 -2.3500000E+002 -1.9500000E+002 -2.9800000E+002
 -2.4500000E+002 -1.8400000E+002 -3.1300000E+002
 -2.3500000E+002 -1.9100000E+002 -3.2600000E+002
 -2.3500000E+002 -2.0300000E+002 -3.2500000E+002
 -2.4000000E+002 -1.8600000E+002 -3.3900000E+002
 -2.1400000E+002 -2.0800000E+002 -3.4400000E+002
 -2.2400000E+002 -2.3400000E+002 -3.3600000E+002
 -2.0100000E+002 -1.8700000E+002 -3.2500000E+002
 -2.0200000E+002 -1.7000000E+002 -3.3700000E+002
 -2.1600000E+002 -1.8200000E+002 -3.5500000E+002
 -2.0700000E+002 -2.0700000E+002 -3.4800000E+002
 -2.2500000E+002 -2.2900000E+002 -3.4200000E+002
 -2.2400000E+002 -2.1100000E+002 -3.4500000E+002
 -2.3900000E+002 -2.0500000E+002 -3.6100000E+002
 -2.4200000E+002 -2.0700000E+002 -3.5600000E+002
 -2.2400000E+002 -2.1000000E+002 -3.4400000E+002
 -2.1900000E+002 -2.1400000E+002 -3.4900000E+002
 -2.1600000E+002 -2.1700000E+002 -3.5600000E+002
 -2.1800000E+002 -1.9300000E+002 -3.6900000E+002
 -1.9600000E+002 -1.8500000E+002 -3.5700000E+002
 -1.9500000E+002 -2.2400000E+002 -3.5700000E+002
 -2.2600000E+002 -1.9600000E+002 -3.6400000E+002
 -1.9800000E+002 -1.8400000E+002 -3.5900000E+002
 -1.7600000E+002 -2.3600000E+002 -3.6000000E+002
 -2.0100000E+002 -2.1000000E+002 -3.6700000E+002
 -1.9400000E+002 -1.7700000E+002 -3.7600000E+002
 -2.0800000E+002 -2.1900000E+002 -3.5800000E+002
 -2.1000000E+002 -2.2800000E+002 -3.7900000E+002
 -2.0700000E+002 -2.1300000E+002 -3.9700000E+002
 -2.1400000E+002 -1.9500000E+002 -3.8100000E+002
 -1.8500000E+002 -1.8500000E+002 -3.8600000E+002
 -2.0700000E+002 -2.0900000E+002 -3.6700000E+002
 -2.0700000E+002 -1.9300000E+002 -3.6300000E+002
 -1.9900000E+002 -2.0700000E+002 -3.7500000E+002
 -2.2000000E+002 -2.2200000E+002 -3.7700000E+002
 -1.8500000E+002 -2.0300000E+002 -3.5800000E+002
 -1.8400000E+002 -2.1300000E+002 -3.5500000E+002
 -2.0800000E+002 -2.1300000E+002 -3.6800000E+002
 -1.8600000E+002 -2.2300000E+002 -3.5300000E+002
 -1.8800000E+002 -1.9400000E+002 -3.7500000E+002
 -2.0200000E+002 -1.8500000E+002 -3.6700000E+002
 -1.8400000E+002 -2.0400000E+002 -3.7100000E+002
 -2.0100000E+002 -2.0100000E+002 -3.9800000E+002
 -2.1100000E+002 -2.0400000E+002 -3.9400000E+002
 -2.0500000E+002 -1.7800000E+002 -4.2500000E+002
 -1.9900000E+002 -2.1100000E+002 -3.8800000E+002
 -1.8100000E+002 -2.1200000E+002 -3.6000000E+002
 -2.1200000E+002 -1.9400000E+002 -3.7400000E+002
 -2.0700000E+002 -2.1100000E+002 -3.4800000E+002
 -1.8000000E+002 -1.8400000E+002 -3.6400000E+002
 -1.9900000E+002 -1.6500000E+002 -3.5400000E+002
 -1.8600000E+002 -1.6900000E+002 -3.4000000E+002
 -1.9600000E+002 -2.1500000E+002 -3.4800000E+002
 -2.0200000E+002 -2.2600000E+002 -3.6400000E+002
 -1.7400000E+002 -2.1100000E+002 -3.7100000E+002
 -2.1100000E+002 -2.0500000E+002 -3.3700000E+002
 -2.0800000E+002 -1.6700000E+002 -3.4200000E+002
 -2.0000000E+002 -1.7300000E+002 -3.5500000E+002
 -2.3000000E+002 -1.9200000E+002 -3.5900000E+002
 -2.0200000E+002 -2.0400000E+002 -3.6100000E+002
 -2.1700000E+002 -1.9400000E+002 -3.6200000E+002
 -2.2900000E+002 -1.9700000E+002 -3.5700000E+002
 -2.1600000E+002 -2.3600000E+002 -3.4000000E+002
 -2.2200000E+002 -2.3000000E+002 -3.5600000E+002
 -2.2400000E+002 -2.1300000E+002 -3.6100000E+002
 -2.3400000E+002 -1.9600000E+002 -3.7000000E+002
 -1.9600000E+002 -2.0200000E+002 -3.3900000E+002
 -2.0800000E+002 -2.1700000E+002 -3.0700000E+002
 -2.3800000E+002 -2.0000000E+002 -3.4800000E+002
 -2.1000000E+002 -2.0300000E+002 -3.4100000E+002
 -2.2900000E+002 -2.0100000E+002 -3.3000000E+002
 -2.3400000E+002 -1.7900000E+002 -3.4100000E+002
 -2.2700000E+002 -1.7800000E+002 -3.2900000E+002
 -2.2300000E+002 -2.0900000E+002 -3.1800000E+002
 -2.0900000E+002 -2.3600000E+002 -3.4000000E+002
 -2.3900000E+002 -2.0600000E+002 -3.6100000E+002
 -2.3900000E+002 -1.7300000E+002 -3.3300000E+002
 -2.3600000E+002 -1.8800000E+002 -3.3200000E+002
 -2.3400000E+002 -1.9000000E+002 -3.3300000E+002
 -2.1400000E+002 -1.8900000E+002 -3.1200000E+002
 -2.5100000E+002 -2.0200000E+002 -3.1500000E+002
 -2.6500000E+002 -1.8100000E+002 -3.2300000E+002
 -2.6100000E+002 -1.8900000E+002 -3.1200000E+002
 -2.4400000E+002 -1.9000000E+002 -3.0400000E+002
 -2.3000000E+002 -1.9300000E+002 -3.3000000E+002
