A3CZYX
19
(1P3E16.7)
Station position
107.716103  32.910099  0.561000

velocity
gain U>E>N
1312.145996   1317.180664    1278.162354
0
seconds
  1.0000000E-002
counts
1.0000000E+00
  5.4928075E+006
2008  9  5 17   49   10
14000
EVENT= 001 Ms= 0.0
Station= XIXI
 -2.3100000E+002 -4.7900000E+002 -3.3300000E+002
 -2.4200000E+002 -5.2300000E+002 -3.7900000E+002
 -2.1500000E+002 -5.5200000E+002 -4.8100000E+002
 -2.2000000E+002 -5.8200000E+002 -4.6200000E+002
 -1.7700000E+002 -6.9000000E+002 -3.8800000E+002
 -1.3800000E+002 -6.5000000E+002 -3.9200000E+002
 -2.1900000E+002 -4.8500000E+002 -4.8700000E+002
 -2.6400000E+002 -4.1900000E+002 -5.0600000E+002
 -2.2800000E+002 -5.1500000E+002 -4.5200000E+002
 -1.9900000E+002 -6.8500000E+002 -4.3300000E+002
 -2.4300000E+002 -7.0400000E+002 -5.0500000E+002
 -2.7500000E+002 -6.0200000E+002 -5.9200000E+002
 -2.4100000E+002 -5.3000000E+002 -5.4600000E+002
 -1.8300000E+002 -4.7800000E+002 -4.5800000E+002
 -1.6900000E+002 -5.3800000E+002 -3.1000000E+002
 -1.9800000E+002 -6.0700000E+002 -2.9800000E+002
 -1.9200000E+002 -5.6200000E+002 -4.3300000E+002
 -1.9500000E+002 -4.8400000E+002 -4.9600000E+002
 -1.7600000E+002 -4.3600000E+002 -5.1800000E+002
 -1.5300000E+002 -5.2500000E+002 -4.1500000E+002
 -1.7100000E+002 -6.8000000E+002 -3.6200000E+002
 -1.9100000E+002 -7.8600000E+002 -3.9000000E+002
 -2.0900000E+002 -8.0600000E+002 -4.1100000E+002
 -1.7200000E+002 -8.0100000E+002 -4.0000000E+002
 -1.3800000E+002 -8.3200000E+002 -3.2200000E+002
 -1.4900000E+002 -8.0200000E+002 -3.3300000E+002
 -1.7600000E+002 -7.5600000E+002 -4.1200000E+002
 -2.1500000E+002 -6.8000000E+002 -5.4600000E+002
 -2.0000000E+002 -5.5600000E+002 -6.4800000E+002
 -1.7300000E+002 -5.2600000E+002 -6.2900000E+002
 -1.4300000E+002 -5.6200000E+002 -5.9200000E+002
 -8.2000000E+001 -5.8500000E+002 -5.7000000E+002
 -7.0000000E+001 -6.1000000E+002 -5.8200000E+002
 -1.1300000E+002 -6.3200000E+002 -5.9700000E+002
 -2.4000000E+002 -6.0800000E+002 -5.3700000E+002
 -2.9900000E+002 -5.4700000E+002 -3.5500000E+002
 -1.8400000E+002 -5.0800000E+002 -2.2800000E+002
 -1.1500000E+002 -4.7000000E+002 -3.1000000E+002
 -4.9000000E+001 -4.7700000E+002 -5.0300000E+002
 -2.0000000E+000 -6.2600000E+002 -6.0700000E+002
 -5.3000000E+001 -7.7000000E+002 -6.1000000E+002
 -1.1200000E+002 -6.9700000E+002 -6.4200000E+002
