A3CZYX
19
(1P3E16.7)
Station position
108.324203  34.055302  0.610000

velocity
gain U>E>N
1278.162354   1312.145996    1307.111450
0
seconds
  1.0000000E-002
counts
1.0000000E+00
  2.5070709E+006
2008  9  5 17   49   10
14000
EVENT= 001 Ms= 0.0
Station= ZOZT
 -1.8800000E+002 -7.0900000E+002 -2.5800000E+002
 -1.5500000E+002 -7.4700000E+002 -2.5800000E+002
 -1.5400000E+002 -7.2800000E+002 -2.4300000E+002
 -1.2700000E+002 -6.9000000E+002 -2.2900000E+002
 -1.2500000E+002 -6.6400000E+002 -2.2800000E+002
 -1.2100000E+002 -6.3000000E+002 -2.2300000E+002
 -9.7000000E+001 -6.2000000E+002 -2.3100000E+002
 -1.2600000E+002 -6.1800000E+002 -2.3600000E+002
 -1.3400000E+002 -6.3400000E+002 -2.5100000E+002
 -1.6300000E+002 -6.0600000E+002 -2.6500000E+002
 -1.6700000E+002 -5.6600000E+002 -2.5900000E+002
 -1.7300000E+002 -5.6000000E+002 -2.5100000E+002
 -1.9100000E+002 -5.6300000E+002 -2.4100000E+002
 -1.8200000E+002 -5.9600000E+002 -2.4400000E+002
 -2.2000000E+002 -6.1800000E+002 -2.5400000E+002
 -2.1600000E+002 -6.6300000E+002 -2.6700000E+002
 -2.3200000E+002 -6.5900000E+002 -2.7900000E+002
 -2.3500000E+002 -6.0500000E+002 -2.8800000E+002
 -2.1000000E+002 -5.7800000E+002 -2.9000000E+002
 -2.4200000E+002 -5.3400000E+002 -2.8400000E+002
 -2.3000000E+002 -5.4800000E+002 -3.0500000E+002
 -2.4900000E+002 -5.5900000E+002 -3.2900000E+002
 -2.4900000E+002 -5.6300000E+002 -3.3500000E+002
 -2.1700000E+002 -5.7600000E+002 -3.3100000E+002
 -1.9200000E+002 -5.3000000E+002 -3.2600000E+002
 -1.4800000E+002 -5.1800000E+002 -3.4000000E+002
 -1.6600000E+002 -4.8400000E+002 -3.4300000E+002
 -1.6300000E+002 -4.7100000E+002 -3.5500000E+002
 -1.8600000E+002 -4.8600000E+002 -3.7500000E+002
 -2.1500000E+002 -4.8600000E+002 -3.7800000E+002
 -2.0700000E+002 -5.3100000E+002 -3.7800000E+002
 -2.2900000E+002 -5.2300000E+002 -3.5500000E+002
 -2.1500000E+002 -5.3300000E+002 -3.2900000E+002
 -2.3600000E+002 -5.4800000E+002 -3.2000000E+002
 -2.5300000E+002 -5.3800000E+002 -3.3000000E+002
 -2.5300000E+002 -5.5700000E+002 -3.4200000E+002
 -2.7300000E+002 -5.3200000E+002 -3.3300000E+002
 -2.5200000E+002 -5.3400000E+002 -3.4200000E+002
